xls_row_id,country,region,region_code,disposable_income_pc,employment_rate,unemployment_rate,homicide_rate,life_expectancy,secondary_education_pct,rooms_per_capita,mortality_rate,voter_turnout_pct,broadband_access_pct,air_quality_pm25,life_satisfaction_index,housing_affordability_pct,internet_speed_deviation,social_network_support_index,country_iso3,north_south
111,France,Île-de-France,FR1,35629.0,68.7,7.9,1.0,84.9,84.1,1.5,6.9,76.0,94.2,12.7,6.7,43.4,55.0,88.8,FRA,Other
112,France,Centre-Val de Loire,FRB,30823.6,70.7,5.8,0.8,82.6,86.5,2.0,8.3,75.0,87.4,8.9,6.4,47.9,53.2,88.5,FRA,Other
113,France,Bourgogne-Franche-Comté,FRC,30839.7,68.9,6.6,0.6,82.3,82.0,2.0,8.4,77.1,83.9,9.8,6.7,41.5,45.8,95.4,FRA,Other
114,France,Normandy,FRD,29842.2,66.1,7.5,1.1,82.1,84.2,2.0,8.6,75.5,84.9,9.6,6.6,46.3,43.9,93.1,FRA,Other
115,France,Hauts-de-France,FRE,27553.5,60.0,8.9,1.3,81.3,81.6,1.9,9.2,73.1,87.1,10.9,6.5,53.1,59.2,90.9,FRA,Other
116,France,Grand Est,FRF,30135.3,69.0,7.5,0.6,82.2,83.2,2.0,8.4,73.9,88.1,10.6,6.5,46.4,44.6,88.0,FRA,Other
117,France,Pays de la Loire,FRG,29449.8,70.8,6.7,0.8,83.4,86.7,2.0,7.9,77.0,87.8,9.6,6.3,58.7,46.7,90.8,FRA,Other
118,France,Brittany,FRH,30189.4,69.8,5.6,0.9,82.5,88.1,2.1,8.4,78.8,86.3,10.3,6.9,46.2,18.8,90.4,FRA,Other
119,France,Nouvelle-Aquitaine,FRI,30339.9,71.2,6.2,0.9,83.0,85.8,2.0,8.1,78.4,86.5,9.3,6.8,51.1,40.7,92.2,FRA,Other
120,France,Occitanie,FRJ,28922.3,64.6,7.7,1.1,83.2,85.6,1.9,7.9,78.2,85.3,9.2,6.6,46.4,44.3,90.9,FRA,Other
121,France,Auvergne-Rhône-Alpes,FRK,30633.4,69.7,7.0,0.9,84.0,86.3,1.9,7.5,77.9,88.1,11.2,6.8,47.7,42.6,89.6,FRA,Other
122,France,Provence-Alpes-Côte d’Azur,FRL,30407.1,66.2,6.8,2.2,83.7,81.5,1.7,7.6,73.8,88.5,11.9,6.7,51.2,42.5,90.7,FRA,Other
123,France,Corsica,FRM,30498.4,62.4,8.6,3.1,83.9,75.1,1.7,7.3,62.7,75.1,10.1,7.2,26.9,44.8,92.4,FRA,Other
129,Germany,Baden-Württemberg,DE1,37731.7,79.6,2.9,0.8,82.4,84.1,1.7,12.2,83.4,98.5,11.7,7.1,54.7,-32.9,90.0,DEU,Other
130,Germany,Bavaria,DE2,39402.2,80.8,2.6,0.6,81.8,86.0,1.7,12.7,84.3,98.9,11.3,6.8,53.8,-36.3,84.4,DEU,Other
131,Germany,Berlin,DE3,32949.3,77.0,5.6,1.2,81.2,83.6,1.8,13.0,80.3,99.8,12.5,7.1,45.5,-26.7,92.0,DEU,Other
132,Germany,Brandenburg,DE4,33084.4,79.9,3.1,0.7,80.7,88.6,1.9,13.6,81.6,98.5,11.9,6.9,51.9,-37.2,89.4,DEU,Other
133,Germany,Bremen,DE5,32747.9,70.9,4.9,1.1,79.7,73.4,1.8,14.3,77.8,98.6,11.2,6.2,49.8,-28.1,91.5,DEU,Other
134,Germany,Hamburg,DE6,37826.7,73.4,5.4,1.5,80.9,83.7,1.8,13.5,80.9,99.1,11.8,7.2,37.9,-33.1,84.7,DEU,Other
135,Germany,Hesse,DE7,35805.9,76.1,3.0,1.1,81.3,81.5,1.7,13.3,83.1,98.9,11.7,6.5,56.4,-31.7,87.8,DEU,Other
136,Germany,Mecklenburg-Vorpommern,DE8,32292.2,76.5,3.9,0.6,80.0,91.9,2.0,14.2,79.5,97.6,9.9,7.0,59.5,-44.5,96.7,DEU,Other
137,Germany,Lower Saxony,DE9,34131.3,77.2,3.1,0.8,80.4,81.3,1.8,14.0,83.4,98.7,11.2,7.0,54.1,-33.2,89.0,DEU,Other
138,Germany,North Rhine-Westphalia,DEA,34528.5,74.7,3.4,0.7,80.5,80.4,1.8,14.0,82.2,99.2,12.4,7.0,60.3,-33.9,90.1,DEU,Other
139,Germany,Rhineland-Palatinate,DEB,35289.2,78.0,3.2,0.5,81.1,81.0,1.8,13.6,83.0,98.3,11.3,7.0,53.9,-37.4,88.8,DEU,Other
140,Germany,Saarland,DEC,32826.8,69.3,3.7,0.8,80.0,81.1,1.8,14.6,82.4,98.8,10.7,7.2,46.3,-34.5,97.1,DEU,Other
141,Germany,Saxony,DED,32414.1,77.5,3.8,0.8,81.3,93.0,2.0,13.0,81.1,98.4,11.3,6.7,63.1,-44.2,90.8,DEU,Other
142,Germany,Saxony-Anhalt,DEE,31652.6,73.9,4.2,1.0,79.2,90.9,2.1,14.9,77.7,98.2,10.8,6.9,59.3,-42.2,87.1,DEU,Other
143,Germany,Schleswig-Holstein,DEF,36420.7,76.0,3.7,0.7,80.8,82.5,1.9,13.6,83.5,98.4,10.8,7.1,56.4,-27.5,88.9,DEU,Other
144,Germany,Thuringia,DEG,32013.5,76.3,3.7,0.6,80.5,91.6,2.0,13.6,80.7,98.1,10.5,6.8,71.0,-53.9,95.6,DEU,Other
177,Italy,Piedmont,ITC1,35237.1,74.7,6.1,0.5,83.4,67.5,1.4,7.9,66.3,82.2,18.5,6.1,55.4,-7.4,83.3,ITA,Other
178,Italy,Aosta Valley,ITC2,34378.9,75.4,3.6,0.0,82.9,63.3,1.5,7.4,60.6,84.3,8.0,6.7,51.5,-43.2,83.3,ITA,Other
179,Italy,Liguria,ITC3,34861.6,73.6,4.8,0.9,83.5,71.5,1.6,7.8,64.2,86.0,12.6,6.8,54.3,-12.0,94.2,ITA,Other
180,Italy,Lombardy,ITC4,38764.2,68.8,3.3,0.4,84.1,69.4,1.3,7.3,70.1,85.1,21.9,6.6,49.9,-5.3,86.4,ITA,Other
181,Italy,Abruzzo,ITF1,28814.0,62.1,7.2,0.7,83.4,71.5,1.5,8.2,64.0,79.7,10.6,6.3,62.8,-4.2,86.1,ITA,Other
182,Italy,Molise,ITF2,26817.8,67.6,6.4,0.0,82.5,68.9,1.6,8.6,56.6,79.1,10.2,6.4,47.4,1.5,95.6,ITA,Other
183,Italy,Campania,ITF3,23248.1,58.5,14.6,0.7,81.7,58.5,1.4,9.2,53.5,83.2,15.5,6.2,47.9,-13.4,84.1,ITA,Other
184,Italy,Apulia,ITF4,24789.4,51.3,11.2,0.7,83.1,56.9,1.4,8.1,56.6,80.5,11.9,6.4,70.0,-7.9,88.1,ITA,Other
